FRN,471 Application Number,BEN,Applicant Name,Type of Connections,Number of Lines,Download Speed
2559198,936573,141325,HULL-DAISETTA INDEP SCH DIST,Non-Cellular Wireless (e.g.microwave),1,20
2559198,936573,141325,HULL-DAISETTA INDEP SCH DIST,Non-Cellular Wireless (e.g.microwave),1,20
2559209,936575,131339,BARRY COUNTY I S D,T1/DS-1,1,1.5
2559210,936581,131339,BARRY COUNTY I S D,DSL,2,12
2559215,936590,88692,SETON CATHOLIC JR HIGH SCHOOL,DSL,1,2
2559216,936590,88692,SETON CATHOLIC JR HIGH SCHOOL,Cable,1,100
2559220,936701,220683,TEXANS CAN!,Fiber optic/OC-x,1,100
2559222,936701,220683,TEXANS CAN!,Fiber optic/OC-x,1,100
2559225,936701,220683,TEXANS CAN!,Fiber optic/OC-x,1,100
2559231,936637,16057692,BIBLIOTECA CASA DE LA JUVENTUD MUNICIPIO DE CULEBRA,Fiber optic/OC-x,1,50
2559235,936641,88613,CORPUS CHRISTI SCHOOL,Cable,1,60
2559256,936140,20149,EASTERN CNTR FOR ARTS AND TECH,T1/DS-1,2,1.5
2559267,936701,220683,TEXANS CAN!,Fiber optic/OC-x,1,100
2559268,936701,220683,TEXANS CAN!,Fiber optic/OC-x,1,100
2559270,936701,220683,TEXANS CAN!,Fiber optic/OC-x,1,100
2559271,936701,220683,TEXANS CAN!,Fiber optic/OC-x,1,100
2559272,936701,220683,TEXANS CAN!,Fiber optic/OC-x,1,100
2559275,936715,138225,BENNINGTON PUBLIC SCHOOLS,Fiber optic/OC-x,1,1000
2559276,936711,139871,ZANEIS SCHOOL DISTRICT 72,T1/DS-1,2,1.5
2559292,936155,141955,O'DONNELL IND SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,18
2559294,936718,140688,HENDERSON INDEP SCHOOL DIST,Fiber optic/OC-x,1,100
2559312,936738,16063121,ESCUELA SUPERIOR ACREDITADA P.E.C.E.S. INC,Fiber optic/OC-x,1,100
2559312,936738,16063121,ESCUELA SUPERIOR ACREDITADA P.E.C.E.S. INC,Satellite,1,50
2559316,936728,140977,MUNDAY INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2559320,936730,126116,HATBORO-HORSHAM SCHOOL DISTRICT,Fiber optic/OC-x,11,1024
2559329,936706,122210,NORTH COUNTRY SU 31,Fiber optic/OC-x,1,300
2559330,936745,127362,LUMPKIN COUNTY SCHOOL DISTRICT,DSL,2,12
2559331,936216,134119,CASTLEWOOD SCHOOL DISTRICT 28-1,DSL,1,512
2559337,936769,232933,KINGSBURY CENTER,Fiber optic/OC-x,135,3
2559341,936287,134181,PARKSTON SCHOOL DISTRICT 33-3,DSL,1,50
2559349,936772,127606,WAKULLA COUNTY PUBLIC LIBRARY,Cable,2,16
2559366,936757,124879,CALEDONIA-MUMFORD CENTRAL DIST,Cellular Wireless,14,25
2559368,936740,121825,BLUE MOUNTAIN UNIF SCH DIST 21,Cable,1,30
2559383,936457,16044291,"CAPSLO- COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY, INC.",T1/DS-1,43,1.5
2559385,936457,16044291,"CAPSLO- COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY, INC.",Fiber optic/OC-x,1,35
2559396,936859,126506,WEST POINT PUBLIC SCHOOLS,Fiber optic/OC-x,1,20
2559396,936859,126506,WEST POINT PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2559407,936803,131328,VAN BUREN DISTRICT LIBRARY,Fiber optic/OC-x,6,20
2559407,936803,131328,VAN BUREN DISTRICT LIBRARY,Fiber optic/OC-x,1,50
2559408,936326,145456,CHEWELAH SCHOOL DISTRICT 36,Cellular Wireless,15,5
2559430,936851,143929,BLAKE ELEM SCHOOL DISTRICT,T1/DS-1,1,1.5
2559436,936430,126407,CAROLINE COUNTY PUBLIC SCHOOLS,Fiber optic/OC-x,5,200
2559451,936852,131357,PUTNAM DISTRICT LIBRARY,T1/DS-1,4,1.5
2559459,936797,138458,LINCOLN PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,63,100
2559463,936741,140589,HONEY GROVE IND SCHOOL DIST,Non-Cellular Wireless (e.g.microwave),1,50
2559466,936797,138458,LINCOLN PUBLIC SCHOOL DISTRICT,Dial-up,15,0.056
2559470,936851,143929,BLAKE ELEM SCHOOL DISTRICT,T1/DS-1,1,1.5
2559471,936857,106575,MCKITTRICK ELEMENTARY SCHOOL,Non-Cellular Wireless (e.g.microwave),1,20
2559472,936430,126407,CAROLINE COUNTY PUBLIC SCHOOLS,Cable,1,100
2559474,936833,139497,GREENBRIER PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,1024
2559475,936453,141762,NUECES CANYON CISD,Fiber optic/OC-x,1,500
2559477,936207,127005,NEW HANOVER COUNTY BOARD OF ED,Cellular Wireless,36,8.7
2559482,936839,140333,VANOSS INDEP SCHOOL DISTRICT 9,Fiber optic/OC-x,1,10
2559482,936839,140333,VANOSS INDEP SCHOOL DISTRICT 9,Fiber optic/OC-x,1,100
2559484,936868,129950,FAIRLAWN LOCAL SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2559490,936793,16040045,PCAC-AUBURN,Cellular Wireless,43,3
2559502,936797,138458,LINCOLN PUBLIC SCHOOL DISTRICT,Dial-up,63,0.056
2559512,936830,128450,C E WELDON PUBLIC LIBRARY,Cable,1,80
2559515,936878,124892,DANSVILLE CENTRAL SCH DISTRICT,Cellular Wireless,13,25
2559518,936878,124892,DANSVILLE CENTRAL SCH DISTRICT,Cellular Wireless,2,25
2559522,936847,16060727,BRUNEAU VALLEY DISTRICT LIBRARY,DSL,1,10
2559524,936847,16060727,BRUNEAU VALLEY DISTRICT LIBRARY,DSL,1,10
2559526,936878,124892,DANSVILLE CENTRAL SCH DISTRICT,Cable,1,100
2559527,936797,138458,LINCOLN PUBLIC SCHOOL DISTRICT,Dial-up,63,0.056
2559528,936903,131225,LAKE ODESSA COMMUNITY LIBRARY,Cable,1,15
2559538,936915,131428,ALBION DISTRICT LIBRARY,Fiber optic/OC-x,1,50
2559541,936914,139497,GREENBRIER PUBLIC SCHOOL DIST,DSL,1,6
2559541,936914,139497,GREENBRIER PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,400
2559545,936430,126407,CAROLINE COUNTY PUBLIC SCHOOLS,Cellular Wireless,12,5
2559547,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,100
2559548,936430,126407,CAROLINE COUNTY PUBLIC SCHOOLS,Non-Cellular Wireless (e.g.microwave),11,100
2559549,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,100
2559550,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,100
2559552,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,100
2559555,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,100
2559567,936900,127405,CHATTOOGA COUNTY LIBRARY,Fiber optic/OC-x,2,30
2559571,936871,16023883,LANCASTER MENNONITE SCHOOL DISTRICT,Cable,1,50
2559572,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,100
2559574,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,100
2559576,936871,16023883,LANCASTER MENNONITE SCHOOL DISTRICT,Cable,1,20
2559581,936952,130952,RIVER ROUGE SCHOOL DISTRICT,Fiber optic/OC-x,2,50
2559581,936952,130952,RIVER ROUGE SCHOOL DISTRICT,Fiber optic/OC-x,1,200
2559595,936988,16050868,DR. CHARLES DREW ACADEMY,Cable,1,150
2559606,936999,127081,YANCEY COUNTY SCHOOL DISTRICT,Cellular Wireless,10,2
2559609,936937,144025,CHOWCHILLA ELEMENTARY SCH DIST,Cellular Wireless,48,4000
2559611,936927,134650,KENMARE PUBLIC SCHOOL,Fiber optic/OC-x,1,100
2559612,936430,126407,CAROLINE COUNTY PUBLIC SCHOOLS,Cable,1,25
2559613,936986,88936,HOLY GHOST SCHOOL,DSL,1,3.36
