FRN,471 Application Number,BEN,Applicant Name,Type of Connections,Number of Lines,Download Speed
2587993,951772,125676,CUMBERLAND COUNTY LIBRARY SYS,Cable,1,200
2587999,951772,125676,CUMBERLAND COUNTY LIBRARY SYS,Cable,1,1000
2588019,950528,16046981,ANDREW H. WILSON CHARTER SCHOOL,Fiber optic/OC-x,1,50
2588029,951823,130315,LOWELL PUBLIC LIBRARY,Fiber optic/OC-x,1,10
2588033,951823,130315,LOWELL PUBLIC LIBRARY,T1/DS-1,2,1.5
2588034,951834,135575,HOMER SCHOOL DISTRICT 33 C,Cellular Wireless,24,1
2588052,951834,135575,HOMER SCHOOL DISTRICT 33 C,Fiber optic/OC-x,1,200
2588053,943217,138188,MONTEZUMA TOWNSHIP LIBRARY,DSL,1,20
2588075,951815,130619,JAY SCHOOL CORPORATION,Cellular Wireless,7,12
2588088,939726,138207,MORTON COUNTY LIBRARY,Fiber optic/OC-x,1,4
2588089,951791,127682,DIOCESE OF ORLANDO CATHOLIC SCHOOLS CONSORTIUM,Cable,1,5
2588106,951852,135116,BONNER SCHOOL DISTRICT 14,Fiber optic/OC-x,1,30
2588108,951895,100899,ST FRANCES X CABRINI SCHOOL,Fiber optic/OC-x,1,50
2588112,951850,78375,MERCY HIGH SCHOOL,Cable,1,28
2588116,951896,130686,PIKE COUNTRY PUBLIC LIBRARY,Fiber optic/OC-x,1,20
2588118,951896,130686,PIKE COUNTRY PUBLIC LIBRARY,Fiber optic/OC-x,2,100
2588121,939774,212209,PLAINS COMMUNITY LIBRARY,DSL,1,6
2588127,939769,138052,NESS CITY PUBLIC LIBRARY,DSL,1,3
2588129,951853,137396,WARSAW SCHOOL DISTRICT R 9,Fiber optic/OC-x,4,100
2588141,945597,130254,MORGAN CO PUBLIC LIBRARY,Fiber optic/OC-x,1,100
2588142,951791,127682,DIOCESE OF ORLANDO CATHOLIC SCHOOLS CONSORTIUM,DSL,1,2
2588145,951901,137727,MARMATON VALLEY SCH DIST 256,Fiber optic/OC-x,1,50
2588146,951901,137727,MARMATON VALLEY SCH DIST 256,Fiber optic/OC-x,1,50
2588155,951880,142641,OAKLEY LIBRARY DISTRICT,Non-Cellular Wireless (e.g.microwave),1,5
2588171,943284,138058,RANSOM PUBLIC LIBRARY,DSL,1,3
2588177,940147,138177,STANTON COUNTY PUBLIC LIBRARY,DSL,2,12
2588182,951897,122042,CABOT PUBLIC LIBRARY,Fiber optic/OC-x,1,100
2588186,947779,132678,MISSISSIPPI BEND AREA ED AGENCY 09,Fiber optic/OC-x,1,2000
2588192,951677,140268,PIONEER TECHNOLOGY CENTER,Fiber optic/OC-x,2,100
2588194,948519,131727,GLADSTONE AREA SCHOOL DISTRICT,Fiber optic/OC-x,3,7
2588199,951681,142280,BURLINGTON SCHOOL DIST R E 6 J,Non-Cellular Wireless (e.g.microwave),1,10
2588204,947779,132678,MISSISSIPPI BEND AREA ED AGENCY 09,Fiber optic/OC-x,1,10
2588206,951672,134311,MEADE SCHOOL DISTRICT 46-1,Cable,1,1
2588207,944979,138804,NORTH LOUP PUBLIC LIBRARY,DSL,1,3
2588208,947779,132678,MISSISSIPPI BEND AREA ED AGENCY 09,Fiber optic/OC-x,1,10
2588210,951932,136184,ALPHA PARK PUBLIC LIBRARY DIST,Fiber optic/OC-x,1,20
2588211,951672,134311,MEADE SCHOOL DISTRICT 46-1,DSL,6,1.5
2588214,951672,134311,MEADE SCHOOL DISTRICT 46-1,Cellular Wireless,2,3
2588215,940222,138210,STEVENS COUNTY LIBRARY,DSL,2,12
2588218,951914,50105,SALEM CHRISTIAN ACADEMY,DSL,1,50
2588226,951933,233364,HOLY FAMILY HIGH SCHOOL,Fiber optic/OC-x,1,20
2588228,951672,134311,MEADE SCHOOL DISTRICT 46-1,Fiber optic/OC-x,6,100
2588233,948938,135087,MANHATTAN SCHOOL DISTRICT 3,Fiber optic/OC-x,1,40
2588234,951672,134311,MEADE SCHOOL DISTRICT 46-1,Fiber optic/OC-x,1,250
2588246,951957,8430,OUR LADY OF HOPE REGIONAL SCHOOL,Cable,1,18
2588250,951925,141451,CALHOUN COUNTY INDEPENDENT S D,T1/DS-1,1,1.5
2588256,951951,135947,EAST MOLINE SCHOOL DISTRICT 37,Cellular Wireless,15,1
2588263,951981,16045272,YESHIVA OHR TORAH,Cellular Wireless,16,3
2588265,951981,16045272,YESHIVA OHR TORAH,Non-Cellular Wireless (e.g.microwave),3,5
2588266,951981,16045272,YESHIVA OHR TORAH,Cable,1,5
2588269,951951,135947,EAST MOLINE SCHOOL DISTRICT 37,Fiber optic/OC-x,1,15
2588269,951951,135947,EAST MOLINE SCHOOL DISTRICT 37,Fiber optic/OC-x,1,50
2588274,940200,138040,BARNARD LIBRARY,DSL,1,1.5
2588276,951925,141451,CALHOUN COUNTY INDEPENDENT S D,Fiber optic/OC-x,1,200
2588283,951315,132291,SLOAN PUBLIC LIBRARY,Cable,1,10
2588283,951315,132291,SLOAN PUBLIC LIBRARY,Cable,1,10
2588289,951877,68059,STILLWATER CHRISTIAN SCHOOL,Cellular Wireless,6,12
2588293,951639,130651,BROWN COUNTY SCHOOL CORP,Fiber optic/OC-x,1,6
2588294,951976,142616,BUHL PUBLIC LIBRARY,Cable,1,15
2588300,951981,16045272,YESHIVA OHR TORAH,Cable,1,5
2588301,951980,132312,WEST LYON COMM SCHOOL DISTRICT,Fiber optic/OC-x,1,15
2588308,951988,12696,LONG ISLAND LUTHERAN MIDDLE AND HIGH SCHOOL,Cable,1,5
2588313,951988,12696,LONG ISLAND LUTHERAN MIDDLE AND HIGH SCHOOL,Fiber optic/OC-x,1,100
2588348,951996,16072221,WOODLAWN SCHOOL,Cellular Wireless,2,7
2588351,951996,16072221,WOODLAWN SCHOOL,DSL,1,3
2588352,951941,126572,ROANOKE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,14,100
2588352,951941,126572,ROANOKE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,8,1000
2588352,951941,126572,ROANOKE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,10000
2588353,951996,16072221,WOODLAWN SCHOOL,Cable,1,35
2588356,951995,150224,AMERICAN SAMOA SEA,Fiber optic/OC-x,5,50
2588361,951997,75270,GENESIS SCHOOL,Cellular Wireless,128,8
2588372,952020,16063591,BURR AND BURTON ACADEMY,Cellular Wireless,7,9
2588377,952001,153246,YESHIVA IMREI CHAIM VIZNITZ OF BOROBARK,Cellular Wireless,40,3
2588379,952020,16063591,BURR AND BURTON ACADEMY,Cable,1,100
2588385,952001,153246,YESHIVA IMREI CHAIM VIZNITZ OF BOROBARK,Non-Cellular Wireless (e.g.microwave),3,5
2588387,951941,126572,ROANOKE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2588388,952020,16063591,BURR AND BURTON ACADEMY,Cellular Wireless,2,9
2588389,952020,16063591,BURR AND BURTON ACADEMY,Cable,13,3
2588396,952021,150224,AMERICAN SAMOA SEA,Non-Cellular Wireless (e.g.microwave),33,5
2588405,947627,128324,CARTER COUNTY BD OF EDUCATION,Fiber optic/OC-x,2,1.544
2588405,947627,128324,CARTER COUNTY BD OF EDUCATION,Fiber optic/OC-x,17,1000
2588408,952001,153246,YESHIVA IMREI CHAIM VIZNITZ OF BOROBARK,DSL,1,1.5
2588411,952001,153246,YESHIVA IMREI CHAIM VIZNITZ OF BOROBARK,DSL,1,1.5
2588430,949591,128357,ROANE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,19,1000
2588430,949591,128357,ROANE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,10000
2588454,952005,64005,WORLD LEARNER SCH- DIST 4016,Cable,1,27
2588456,952023,131853,EARLHAM COMMUNITY SCHOOL DIST,Fiber optic/OC-x,1,200
2588472,952025,145454,ALMIRA SCHOOL DISTRICT,Cellular Wireless,2,3
2588474,952025,145454,ALMIRA SCHOOL DISTRICT,T1/DS-1,2,1.5
2588493,952053,16076296,CINDER ENTERTAINMENT ACADEMY,Fiber optic/OC-x,1,100
2588493,952053,16076296,CINDER ENTERTAINMENT ACADEMY,Satellite,1,50
2588510,952040,136605,SOUTH FORK SCHOOL DISTRICT 14,Cable,1,20
2588516,952041,90871,ST MATTHEW CATHOLIC SCHOOL,Cable,1,20
2588535,949752,16046349,HIAWATHA VALLEY EDUCATION DISTRICT,Cellular Wireless,17,5
2588536,949752,16046349,HIAWATHA VALLEY EDUCATION DISTRICT,DSL,1,3
2588541,939961,122299,SOUTH WINDSOR PUBLIC SCHOOLS,Cellular Wireless,20,2
2588543,939961,122299,SOUTH WINDSOR PUBLIC SCHOOLS,Cellular Wireless,20,2
2588545,939961,122299,SOUTH WINDSOR PUBLIC SCHOOLS,T1/DS-1,1,1.5
2588559,950906,135445,LAKE PARK COMM HIGH S D 108,Fiber optic/OC-x,2,100
2588560,952072,16072383,HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,Cable,2,50
2588561,950906,135445,LAKE PARK COMM HIGH S D 108,Fiber optic/OC-x,1,200
2588568,950906,135445,LAKE PARK COMM HIGH S D 108,T3/DS-3,3,45
2588572,952076,16072052,BAIS YAAKOV ELEM OF ROCKLAND COUNTY,Cellular Wireless,10,3
2588573,952076,16072052,BAIS YAAKOV ELEM OF ROCKLAND COUNTY,Cable,1,5
2588576,952074,10083,CORPUS CHRISTI SCHOOL,T1/DS-1,1,1.5
2588579,952077,16058105,NOBLE LEADERSHIP ACAEMY,DSL,1,35
2588594,952081,16047411,ASHTABULA COUNTY EDUCATIONAL SERVICE CENTER,Fiber optic/OC-x,1,10
2588599,952092,137643,NORTH JACKSON UNIF DIST 335,DSL,3,10
2588600,952086,137878,BLUESTEM UNIFIED SCH DIST 205,T1/DS-1,1,1.5
2588606,952118,130448,ALLEN COUNTY PUBLIC LIBRARY,Cellular Wireless,1,7
2588608,952115,142059,FORT DAVIS INDEP SCHOOL DIST,Fiber optic/OC-x,1,100
2588610,952115,142059,FORT DAVIS INDEP SCHOOL DIST,Fiber optic/OC-x,1,100
2588613,952086,137878,BLUESTEM UNIFIED SCH DIST 205,Fiber optic/OC-x,1,50
2588614,952123,128406,MORGAN COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2588614,952123,128406,MORGAN COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,500
2588614,952123,128406,MORGAN COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,7,1000
2588614,952123,128406,MORGAN COUNTY SCHOOL DISTRICT,T1/DS-1,1,1.5
2588616,952127,135185,DEER PARK SCHOOL DISTRICT 2,DSL,1,1.5
2588621,951235,133706,ROCHESTER PUBLIC LIBRARY,Cellular Wireless,2,14
2588628,952111,136248,PONTIAC SCHOOL DISTRICT 429,Fiber optic/OC-x,3,651
2588637,952097,129270,PATRICK HENRY SCH DIST PUB LIB,Cable,1,3
2588638,952134,138199,SYRACUSE UNIF SCHOOL DIST 494,Non-Cellular Wireless (e.g.microwave),1,20
2588656,951235,133706,ROCHESTER PUBLIC LIBRARY,Fiber optic/OC-x,1,40
2588657,952097,129270,PATRICK HENRY SCH DIST PUB LIB,Satellite,1,3
2588662,939444,138031,GREAT BEND UNIF SCH DIST 428,Fiber optic/OC-x,9,1000
2588665,952081,16047411,ASHTABULA COUNTY EDUCATIONAL SERVICE CENTER,Dial-up,1,0.056
2588680,947495,130166,VAN BUREN LOCAL SCHOOL DIST,Fiber optic/OC-x,1,50
2588682,952143,134719,GRASS RANGE SCH DISTRICT 27,Fiber optic/OC-x,1,50
2588690,952098,131874,BALLARD COMMUNITY SCHOOL DIST,Fiber optic/OC-x,1,50
2588694,952107,194335,ST ANNE INSTITUTE,T1/DS-1,1,1.5
2588713,952131,127950,TALLADEGA COUNTY SCHOOL DIST,Fiber optic/OC-x,8,1000
2588713,952131,127950,TALLADEGA COUNTY SCHOOL DIST,Fiber optic/OC-x,8,10000
2588734,952131,127950,TALLADEGA COUNTY SCHOOL DIST,Fiber optic/OC-x,1,1000
2588771,952118,130448,ALLEN COUNTY PUBLIC LIBRARY,Fiber optic/OC-x,13,1000
2588775,952173,141848,LEFORS INDEP SCHOOL DISTRICT,T3/DS-3,1,45
2588777,952173,141848,LEFORS INDEP SCHOOL DISTRICT,T3/DS-3,1,45
2588779,952173,141848,LEFORS INDEP SCHOOL DISTRICT,T3/DS-3,1,45
2588782,952172,130432,LA GRANGE COUNTY LIBRARY,Cellular Wireless,3,7
2588800,942141,36661,CARROLLTON SCHOOL,Cellular Wireless,9,9
2588805,942141,36661,CARROLLTON SCHOOL,Fiber optic/OC-x,1,50
2588824,952179,16029407,PACE,Cellular Wireless,84,3
2588832,945083,132937,DARLINGTON SCHOOL DISTRICT,Fiber optic/OC-x,1,96
2588836,952079,137876,SOUTH BARBER UNIF SCH DIST 255,Fiber optic/OC-x,1,100
2588837,952185,130272,CLARK PLEASANT COMMUNITY SCHOOL CORP,Fiber optic/OC-x,1,200
2588837,952185,130272,CLARK PLEASANT COMMUNITY SCHOOL CORP,Fiber optic/OC-x,5,1000
2588839,951842,140288,TONKAWA PUBLIC LIBRARY,Fiber optic/OC-x,1,50
2588840,950366,140822,NEWTON COUNTY PUBLIC LIBRARY,DSL,16,11
2588863,941437,109995,NOTRE DAME HIGH SCHOOL,T1/DS-1,1,1.5
2588875,952201,137827,BELLE PLAINE UNIF SCH DIST 357,Fiber optic/OC-x,1,80
2588893,945060,16061808,RESURRECTION CHRISTIAN SCHOOL,Cable,2,100
2588895,952206,1297,ST JOHN'S PREPARATORY SCHOOL,Fiber optic/OC-x,1,50
2588919,952232,75859,TRINITY LUTHERAN SCHOOL,Cable,1,10
2588930,952235,63565,ST MARY'S ELEMENTARY SCHOOL,Cellular Wireless,3,7
2588933,952235,63565,ST MARY'S ELEMENTARY SCHOOL,Fiber optic/OC-x,1,44
2588935,950366,140822,NEWTON COUNTY PUBLIC LIBRARY,T1/DS-1,10,1.5
2588940,947987,147059,WASHTENAW INTERMEDIATE SCHOOL DISTRICT,Cable,4,27
2588943,952222,134708,BROADVIEW SCHOOL DISTRICT 21 J,DSL,1,50
2588945,952236,58974,ORCHARD PLACE SCHOOL,Cellular Wireless,32,3
2588946,952222,134708,BROADVIEW SCHOOL DISTRICT 21 J,Satellite,1,1
2588949,952221,138200,GREELEY CO UNIF DISTRICT 200,Fiber optic/OC-x,1,10
2588959,952243,140055,COPAN PUBLIC SCHOOLS,Fiber optic/OC-x,1,250
2588961,952129,12045,GOOD SHEPHERD SCHOOL,DSL,1,3
2588966,952243,140055,COPAN PUBLIC SCHOOLS,Cellular Wireless,2,1
2588967,952244,130395,JOHN GLENN SCHOOL CORPORATION,Fiber optic/OC-x,1,100
2588980,950366,140822,NEWTON COUNTY PUBLIC LIBRARY,T1/DS-1,10,1.5
2588987,952200,10145,ST CHARLES BORROMEO SCHOOL,Cable,1,30
2588990,940255,137786,BELLEVILLE PUBLIC LIBRARY,Cable,1,10
2588993,952255,130275,INDIANA STATE LIBRARY,Fiber optic/OC-x,1,15
2589025,952293,4938,MT ST JOSEPH ACADEMY,Cable,1,12
2589026,940385,138018,BISON COMMUNITY LIBRARY,DSL,1,3
2589033,952226,130750,NORTH VERMILLION COMM SCH CORPORATION,Fiber optic/OC-x,1,100
2589035,952248,68059,STILLWATER CHRISTIAN SCHOOL,Non-Cellular Wireless (e.g.microwave),2,20
2589046,952295,141701,DRIPPING SPRINGS INDEP SCH DIST,Cable,1,200
2589056,952296,16588,CANEVIN CATHOLIC HIGH SCHOOL,Cellular Wireless,12,7
2589059,952296,16588,CANEVIN CATHOLIC HIGH SCHOOL,Cable,1,50
2589064,952300,221859,Kanuoka Aina,DSL,1,50
2589066,952300,221859,Kanuoka Aina,Cellular Wireless,31,8
2589070,952299,128466,HOLLOW ROCK BRUCETON SCH DIST,Fiber optic/OC-x,1,100
2589082,952277,141701,DRIPPING SPRINGS INDEP SCH DIST,Fiber optic/OC-x,1,200
2589091,952262,44247,ASSUMPTION HIGH SCHOOL,Fiber optic/OC-x,2,100
2589096,952303,38508,EPIPHANY CATHEDRAL SCHOOL,Cable,1,100
2589097,952304,132348,RUTHVEN PUBLIC LIBRARY,DSL,1,5
2589098,951965,133379,INDEPENDENCE SCHOOL DISTRICT,Fiber optic/OC-x,1,400
2589106,952309,74114,COR JESU ACADEMY SCHOOL,Cellular Wireless,5,9
2589110,952309,74114,COR JESU ACADEMY SCHOOL,Fiber optic/OC-x,1,125
2589112,949662,127682,DIOCESE OF ORLANDO CATHOLIC SCHOOLS CONSORTIUM,Cable,1,5
2589112,949662,127682,DIOCESE OF ORLANDO CATHOLIC SCHOOLS CONSORTIUM,Fiber optic/OC-x,1,60
2589115,952312,112758,OUR LADY GOOD COUNSEL SCHOOL,Cellular Wireless,2,7
2589117,952312,112758,OUR LADY GOOD COUNSEL SCHOOL,Cable,1,5
2589119,951965,133379,INDEPENDENCE SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2589124,942156,37960,CLEARWATER CTRL CATH HIGH SCH,Cellular Wireless,4,8
2589132,949662,127682,DIOCESE OF ORLANDO CATHOLIC SCHOOLS CONSORTIUM,Cellular Wireless,8,3
2589147,942156,37960,CLEARWATER CTRL CATH HIGH SCH,Fiber optic/OC-x,1,150
2589163,952317,36365,LITTLE FLOWER SCHOOL,Cable,1,5
2589169,952281,130286,MSD WAYNE TOWNSHIP,Fiber optic/OC-x,1,1000
2589176,941267,16061231,LITTLE ROCK CHRISTIAN ACADEMY,Cellular Wireless,12,6
2589180,952308,127950,TALLADEGA COUNTY SCHOOL DIST,Cellular Wireless,65,1
2589183,945213,201020,KLINGBER FAMILY CENTER,DSL,1,1.5
2589188,941267,16061231,LITTLE ROCK CHRISTIAN ACADEMY,Cable,23,215
2589190,952308,127950,TALLADEGA COUNTY SCHOOL DIST,Cellular Wireless,4,100
2589194,941267,16061231,LITTLE ROCK CHRISTIAN ACADEMY,Cellular Wireless,7,7
2589196,952316,132290,SERGEANT BLUFF-LUTON COMM SCHOOL DISTRICT,DSL,1,3
2589200,952316,132290,SERGEANT BLUFF-LUTON COMM SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2589216,952284,127396,MURRAY COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,12,1000
2589223,952284,127396,MURRAY COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,150
2589233,952327,140426,PEAVINE SCHOOL DISTRICT 19,Cellular Wireless,4,45
2589235,952327,140426,PEAVINE SCHOOL DISTRICT 19,Cellular Wireless,6,1000
2589240,940392,137981,GLASCO CITY LIBRARY,DSL,1,3
2589245,951878,132164,GMG COMMUNITY SCHOOL DISTRICT,Fiber optic/OC-x,1,10
2589246,952327,140426,PEAVINE SCHOOL DISTRICT 19,Fiber optic/OC-x,1,10
2589258,947946,145770,TRAVERSE CITY CHRISTIAN SCHOOL,Cable,1,60
2589271,952323,144736,KLAMATH RIVER UNION ELEM S D,T1/DS-1,1,1.5
2589277,952355,130398,WARSAW COMMUNITY SCHOOLS,Fiber optic/OC-x,1,50
2589279,952323,144736,KLAMATH RIVER UNION ELEM S D,T1/DS-1,1,1.5
2589282,952331,133354,AUGUSTA SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2589285,952360,132164,GMG COMMUNITY SCHOOL DISTRICT,Fiber optic/OC-x,1,10
2589289,947779,132678,MISSISSIPPI BEND AREA ED AGENCY 09,Cellular Wireless,102,54
2589290,952369,145314,MOSSYROCK SCHOOL DISTRICT 206,Cellular Wireless,1,1.5
2589292,952355,130398,WARSAW COMMUNITY SCHOOLS,Fiber optic/OC-x,1,1000
2589299,952323,144736,KLAMATH RIVER UNION ELEM S D,T1/DS-1,1,1.5
2589300,951128,149401,Garden County Schools District 35-0001,DSL,1,10
2589306,938291,5064,AVON OLD FARMS SCHOOL,T1/DS-1,1,1.5
2589307,952194,128366,MARYVILLE CITY SCHOOL DISTRICT,Fiber optic/OC-x,2,500
2589318,938291,5064,AVON OLD FARMS SCHOOL,Cellular Wireless,20,2
2589323,951128,149401,Garden County Schools District 35-0001,DSL,2,10
2589325,938509,128359,LAKE CITY PUBLIC LIBRARY,Cable,1,12
2589326,938291,5064,AVON OLD FARMS SCHOOL,Fiber optic/OC-x,1,200
2589329,952374,138498,CLARKSON PUBLIC SCHOOLS,Fiber optic/OC-x,100,100
2589339,942178,37967,GUARDIAN ANGELS CATHOLIC SCH,Cable,1,90
2589343,952408,44477,ST JOHN SCHOOL,DSL,1,6
2589348,938291,5064,AVON OLD FARMS SCHOOL,Cable,1,16
2589360,952373,158248,SHUTER LIBRARY OF ANGEL FIRE,DSL,1,7
2589364,952362,129688,SEBRING LOCAL SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2589376,952394,16056890,ENDEAVOR COLLEGE PREPARATORY CHARTER SCHOOL,Non-Cellular Wireless (e.g.microwave),1,3
2589378,952394,16056890,ENDEAVOR COLLEGE PREPARATORY CHARTER SCHOOL,Non-Cellular Wireless (e.g.microwave),1,3
2589385,942178,37967,GUARDIAN ANGELS CATHOLIC SCH,Cellular Wireless,2,8
2589397,952413,16055584,ST CHARLES BORROMEO ELEMENTARY,Cable,1,3
2589400,949629,72634,OUR LADY QUEEN OF PEACE SCHOOL,Cable,1,60
2589403,952417,133700,PROCTOR INDEP SCHOOL DIST 704,Fiber optic/OC-x,1,100
2589411,952409,128544,UNION COUNTY LIBRARY SYSTEM,T1/DS-1,1,1.5
2589411,952409,128544,UNION COUNTY LIBRARY SYSTEM,T3/DS-3,1,45
2589421,952444,142250,BRUSH SCHOOL DISTRICT R E 2 J,Fiber optic/OC-x,1,100
2589423,952444,142250,BRUSH SCHOOL DISTRICT R E 2 J,Fiber optic/OC-x,1,1000
2589426,952449,137940,GRENOLA PUBLIC LIBRARY,Cable,1,4
2589436,942431,38462,SARASOTA CHRISTIAN SCHOOL,Cable,1,50
2589438,952420,130454,MSD SOUTHWEST ALLEN CO.,Fiber optic/OC-x,1,10
2589448,952431,16550,ST JOSEPH SCHOOL,Cable,1,11
2589450,952410,135922,ROCKFORD PUBLIC LIBRARY,Fiber optic/OC-x,2,10
2589450,952410,135922,ROCKFORD PUBLIC LIBRARY,Fiber optic/OC-x,2,20
2589450,952410,135922,ROCKFORD PUBLIC LIBRARY,Fiber optic/OC-x,2,100
2589452,940669,126074,ABINGTON SCHOOL DISTRICT,Fiber optic/OC-x,10,1000
2589454,952436,16055875,CHRIST OUR ROCK LUTHERAN HIGH SCHOOL,Fiber optic/OC-x,1,10
2589467,952437,16071772,CENTRAL LUTHERAN SCHOOL,Fiber optic/OC-x,1,25
2589473,952403,141929,ANTON INDEP SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,100
2589475,942457,16061045,ST. CLEMENT EARLY CHILDHOOD CTR,Satellite,1,6
2589478,948951,143302,WAGON MOUND PUBLIC SCHOOLS,Fiber optic/OC-x,1,20
2589480,942457,16061045,ST. CLEMENT EARLY CHILDHOOD CTR,Fiber optic/OC-x,1,87.99
2589487,941851,101349,MENORAH DAY SCHOOL,Cellular Wireless,1,6
2589495,952403,141929,ANTON INDEP SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,100
2589497,952446,10328,HOLY ROSARY SCHOOL,Cable,1,10
2589507,952407,135122,DARBY COMMUNITY  PUBLIC LIBRARY,DSL,2,7
2589518,952455,133695,WILLOW RIVER SCHOOL DIST 577,Fiber optic/OC-x,1,100
2589541,952457,145503,SPOKANE SCHOOL DISTRICT 81,Fiber optic/OC-x,57,10240
2589556,952464,135932,MERCER COUNTY SCHOOL DISTRICT 404,Fiber optic/OC-x,1,100
2589564,952471,112720,LIHUE PUBLIC LIBRARY,DSL,1,11
2589567,952460,145125,HERMISTON SCHOOL DISTRICT 8,Fiber optic/OC-x,1,10240
2589601,952464,135932,MERCER COUNTY SCHOOL DISTRICT 404,DSL,1,1
2589601,952464,135932,MERCER COUNTY SCHOOL DISTRICT 404,T1/DS-1,2,1.5
2589633,952508,127489,CLINCH COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,4,30
2589637,952508,127489,CLINCH COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,45
2589667,952528,130272,CLARK PLEASANT COMMUNITY SCHOOL CORP,Fiber optic/OC-x,1,1000
2589687,951316,131474,MECOSTA OSCEOLA INTERMEDIATE SCHOOL DISTRICT,Fiber optic/OC-x,7,1000
2589719,952550,123907,CENTRAL ISLIP UNION FREE DIST,Fiber optic/OC-x,8,10
2589728,952551,126858,HARNETT COUNTY SCHOOL DISTRICT,Cellular Wireless,195,10
2589738,952568,140043,BRISTOW PUBLIC SCHOOLS,Fiber optic/OC-x,1,200
2589749,952568,140043,BRISTOW PUBLIC SCHOOLS,Cellular Wireless,32,3500
2589752,952571,132358,CHARTER OAK-UTE COMM SCH DIST,Fiber optic/OC-x,1,60
2589759,949915,17360,HOLY SEPULCHER SCHOOL,Cable,5,5
2589764,941733,111361,ST. JOHN NORTE DAME SCHOOL,Cellular Wireless,1,4
2589769,952562,16049999,HOLY TRINITY REGIONAL SCHOOL,Fiber optic/OC-x,1,50
2589770,952575,130388,PLYMOUTH COMM SCHOOL CORP,Fiber optic/OC-x,1,500
2589773,952575,130388,PLYMOUTH COMM SCHOOL CORP,Fiber optic/OC-x,6,10000
2589776,952573,126642,CAMPBELL COUNTY SCHOOL DIST,Dial-up,1,0.056
2589778,952588,132340,HARRIS-LAKE PARK COMM SCH DIST,Fiber optic/OC-x,1,25
2589782,952573,126642,CAMPBELL COUNTY SCHOOL DIST,Dial-up,12,0.056
2589806,952573,126642,CAMPBELL COUNTY SCHOOL DIST,Dial-up,39,0.056
2589827,952626,134877,GLENDIVE PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2589828,952573,126642,CAMPBELL COUNTY SCHOOL DIST,Dial-up,2,0.056
2589832,952573,126642,CAMPBELL COUNTY SCHOOL DIST,Cable,1,500
2589833,952626,134877,GLENDIVE PUBLIC SCHOOLS,Cellular Wireless,4,3
2589834,952573,126642,CAMPBELL COUNTY SCHOOL DIST,Cellular Wireless,100,10
2589845,952657,139759,CRESCENT INDEP SCHOOL DIST 2,Fiber optic/OC-x,1,100
2589850,952579,140096,RIPLEY INDEP SCHOOL DIST I 3,Fiber optic/OC-x,1,100
2589851,952640,130434,PRAIRIE HEIGHTS COMM SCH CORP,Fiber optic/OC-x,1,50
2589879,952657,139759,CRESCENT INDEP SCHOOL DIST 2,Fiber optic/OC-x,1,100
2589885,952657,139759,CRESCENT INDEP SCHOOL DIST 2,Cellular Wireless,7,2000
2589919,952729,135684,HINSDALE TOWNSHIP H S DIST 86,Cable,1,3
2589919,952729,135684,HINSDALE TOWNSHIP H S DIST 86,Cable,1,29
2589920,952729,135684,HINSDALE TOWNSHIP H S DIST 86,Cellular Wireless,3,1
2589920,952729,135684,HINSDALE TOWNSHIP H S DIST 86,Cellular Wireless,2,1
2589925,952729,135684,HINSDALE TOWNSHIP H S DIST 86,Fiber optic/OC-x,1,100
2589926,952729,135684,HINSDALE TOWNSHIP H S DIST 86,Fiber optic/OC-x,1,20
2589940,948361,130404,MSD STEUBEN COUNTY,Fiber optic/OC-x,1,1000
2589942,948361,130404,MSD STEUBEN COUNTY,Fiber optic/OC-x,1,100
2589944,948361,130404,MSD STEUBEN COUNTY,Fiber optic/OC-x,1,100
2589945,948361,130404,MSD STEUBEN COUNTY,Fiber optic/OC-x,1,100
2589946,946024,36923,ST TIMOTHY PARISH SCHOOL,Cable,10,10
2589961,952740,126858,HARNETT COUNTY SCHOOL DISTRICT,Cellular Wireless,35,10
2589965,952716,46984,MAUMEE VALLEY COUNTRY DAY SCH,Fiber optic/OC-x,1,50
2589970,952714,12443,ST MATTHIAS SCHOOL,T1/DS-1,1,1.5
